City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Mahebourg,MU,-20.4081,57.7,73.69,73,40,5.75,scattered clouds
332,Padang,ID,-0.9492,100.3543,82.45,68,95,0.22,overcast clouds
333,Waipawa,NZ,-41.4122,175.5153,54.18,53,5,4.23,clear sky
334,Borazjan,IR,29.2666,51.2159,85.75,11,0,4.34,clear sky
335,Chiang Khong,TH,20.2613,100.4046,78.89,83,72,1.16,broken clouds
336,Tadine,NC,-21.55,167.8833,79.03,78,1,12.26,clear sky
337,Broome,US,42.2506,-75.833,55.78,88,75,12.66,broken clouds
338,Laguna,US,38.421,-121.4238,89.58,22,0,9.22,clear sky
339,Pirgos,GR,35.1167,25.7178,64.62,52,0,2.8,clear sky
340,Opuwo,NA,-18.0607,13.84,52.93,25,0,6.04,clear sky
341,Salaga,GH,8.5508,-0.5188,75.27,87,98,1.83,overcast clouds
342,Beyneu,KZ,45.3167,55.2,63.43,39,0,17.87,clear sky
